"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P","J","Y","K","N","H","M","E","U","色"
13115005400,13115,"54","おおみや（わだぼり）いせき","大宮(和田堀)遺跡","杉並区 大宮二丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代]","集落（方形周溝墓）","[弥生時代]方形周溝墓　都指定史跡-大宮遺跡　（昭和54.3.31）","縄文土器　礫器　石鏃　石匙　弥生土器　勾玉　ガラス小玉　土師器",139.6395824,35.68339886,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"orange"
13201097800,13201,"978","ふじみちょういせき","富士見町遺跡","八王子市 大谷町","[縄文時代][弥生時代（後期）]","墳墓（方形周溝墓）","[縄文時代]土坑　[弥生時代]方形周溝墓　[時代不明]土坑　ピット群","弥生土器　ガラス小玉",139.3526986,35.66916499,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"orange"
13225007900,13225,"79","ひらおだいはらいせき","平尾台原遺跡","稲城市 平尾","[縄文時代（草創期～後期）][弥生時代][古墳時代][奈良時代]","集落・方形周溝墓","[縄文時代]住居　敷石住居　炉　土坑　[弥生時代]住居　方形周溝墓　[古墳時代]住居　柱穴　[奈良時代]住居","縄文土器　石器　弥生土器　土師器　須恵器　勾玉　青銅製品",139.4928577,35.61159354,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"orange"
