"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P","J","Y","K","N","H","M","E","U","色"
13103002800,13103,"28","","港区No.28遺跡","港区 芝公園四丁目","[古墳時代]","横穴墓","","",139.7462486,35.65836343,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"brown"
13103007100,13103,"71","","港区No.71遺跡","港区 白金台二丁目","[古墳時代]","横穴墓？","","",139.7287446,35.63218105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"brown"
13109002400,13109,"24","おおいかねこやまおうけつぼぐん","大井金子山横穴墓群","品川区 西大井四丁目","[古墳時代][奈良時代]","横穴墓","横穴墓（古墳～奈良２基）","鉄鏃　刀子　人骨",139.7205441,35.59394495,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111000300,13111,"3","せんげんじんじゃふきんよこあなぼぐん","浅間神社付近横穴墓群","大田区 田園調布一丁目","[古墳時代][奈良時代]","横穴墓","","直刀",139.6688781,35.58691091,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111000400,13111,"4","ほうらいこうえんないよこあなぼ","宝来公園内横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6639081,35.59491805,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111000600,13111,"6","しもぬまべぼじゃくだによこあなぼ","下沼部牡若谷横穴墓","大田区 田園調布二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6685298,35.59304569,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111000700,13111,"7","しもぬまべいっぽんぎだによこあなぼ","下沼部一本木谷横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","",139.6670555,35.59697895,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111003100,13111,"31","はくさんじんじゃよこあなぼ","白山神社横穴墓","大田区 東嶺町","[古墳時代][奈良時代]","横穴墓","","",139.6833003,35.57892677,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111003200,13111,"32","ぞうみょういんないよこあなぼ","増明院内横穴墓","大田区 鵜の木一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄刀",139.6870554,35.57543632,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111003400,13111,"34","みなみくがはらにちょうめよこあなぼぐん","南久が原二丁目横穴墓群","大田区 南久が原二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6849954,35.57589009,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111003700,13111,"37","しもぬまべしおみだいよこあなぼぐん","下沼部汐見台横穴墓群","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6665735,35.59169219,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111003900,13111,"39","かみぬまべほうらいよこあなぼぐん","上沼部宝来横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.6622981,35.59404778,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004000,13111,"40","かみぬまべはなのよこあなぼぐん","上沼部花野横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6616543,35.59408267,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004100,13111,"41","かみぬまべにいのさとよこあなぼぐん","上沼部新居里横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6619011,35.59460613,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004200,13111,"42","かみぬまべふきあげほくぶよこあなぼぐん","上沼部吹上北部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","木製品　人骨",139.6603512,35.59931764,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004300,13111,"43","かみぬまべふきあげなんぶよこあなぼぐん","上沼部吹上南部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6582484,35.59718903,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004400,13111,"44","かみぬまべ29ばんちよこあなぼ","上沼部29番地横穴墓","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","",139.6576046,35.59610725,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004600,13111,"46","でんえんちょうふほんちょう24ばんよこあなぼ","田園調布本町24番横穴墓","大田区 田園調布本町","[古墳時代][奈良時代]","横穴墓","","",139.6745531,35.58391891,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111004700,13111,"47","でんえんちょうふほんちょう26ばんよこあなぼ","田園調布本町26番横穴墓","大田区 田園調布本町","[古墳時代][奈良時代]","横穴墓","","人骨",139.6743063,35.5827497,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111006100,13111,"61","みなみまごめいっちょうめよこあなぼぐん","南馬込一丁目横穴墓群","大田区 南馬込一丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.7128043,35.59316087,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111006400,13111,"64","つかごしよこあなぼぐん","塚越横穴墓群","大田区 南馬込五丁目　 西馬込二丁目　 仲池上一丁目　 仲池上二丁目　 上池台五丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄鏃　刀子　金銅製頭椎大刀　金銅製圭頭大刀　直刀　轡　杏葉　挂甲小札　人骨",139.7028265,35.58682673,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111006800,13111,"68","さんのういっちょうめよこあなぼぐん","山王一丁目横穴墓群","大田区 山王一丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.7217452,35.59301536,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111007100,13111,"71","くまのじんじゃふきんよこあなぼぐん","熊野神社付近横穴墓群","大田区 山王三丁目","[古墳時代][平安時代]","横穴墓","","土師器　須恵器　人骨",139.7208869,35.58397639,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"brown"
13111007300,13111,"73","さんのういせき・さんのういせきないよこあなぼぐん","山王遺跡・山王遺跡内横穴墓群","大田区 山王二丁目　 山王三丁目","[弥生時代（中期～後期）][古墳時代][奈良時代]","集落・貝塚・横穴墓","[弥生時代]環濠　住居　方形周溝墓　[古墳時代]住居　[奈良時代]横穴墓3基　[時期不明]地下式土坑","弥生土器　石器　土師器　須恵器　鉄鏃　刀子　直刀　人骨",139.7252696,35.58752753,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111007900,13111,"79","くがはらよんちょうめよこあなぼぐん","久が原四丁目横穴墓群","大田区 久が原四丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6921765,35.5802942,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111008000,13111,"80","くがはらよこあなぼぐん","久ヶ原横穴墓群","大田区 久が原四丁目　 久が原五丁目　 久が原六丁目　 南久が原一丁目　 千鳥一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]組合式石棺　切石羨門","土師器　須恵器　鉄鏃　刀子　管玉　勾玉　丸玉　金環　人骨",139.6937644,35.57514582,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
13111008800,13111,"88","ねぎしよこあなぼぐん","根岸横穴墓群","大田区 南久が原一丁目　 千鳥三丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]横穴墓（切石羨門）","須恵器　切石羨門　人骨",139.6880959,35.5740285,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"brown"
