"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","U"
13201096400,13201,"964","","八王子市No.964遺跡","八王子市 犬目町","[時代不明]","包蔵地","","",139.3032174,35.69212041,TRUE
13201096500,13201,"965","","八王子市No.965遺跡","八王子市 犬目町","[時代不明]","包蔵地","","",139.3069853,35.69200191,TRUE
13205009000,13205,"90","","青梅市No.90遺跡","青梅市 河辺町三丁目","[時代不明]","古墳","","壺　直刀",139.2799661,35.78138897,TRUE
13205013600,13205,"136","てんのうづか","天皇塚遺跡","青梅市 藤橋","[時代不明]","包蔵地","","底部穿孔土器",139.2994325,35.80199692,TRUE
13205015100,13205,"151","つか（にき）","塚（2基）","青梅市 今井","[時代不明]","塚","","",139.3117235,35.80241459,TRUE
13205015200,13205,"152","いなりづかいせき","稲荷塚遺跡","青梅市 新町一丁目","[時代不明]","塚","","",139.2975443,35.79041257,TRUE
13205015700,13205,"157","まるやまのつか","丸山の塚","青梅市 藤橋","[時代不明]","その他（塚）","","",139.3034494,35.81060054,TRUE
13206001700,13206,"17","","府中市No.17遺跡","府中市 白糸台一丁目","[時代不明]","塚","円墳","",139.5068651,35.66721598,TRUE
13206002301,13206,"23-1","","府中市No.23-A遺跡","府中市 白糸台三丁目 白糸台五丁目","[時代不明]","その他（塚）?","A：所在地-白糸台五丁目52 B：所在地-白糸台五丁目12 C（襲山(塚））：所在地-白糸台五丁目14","",139.5150155,35.662962,TRUE
13206003100,13206,"31","せんげんやま","せんげん山","府中市 武蔵台二丁目","[時代不明]","その他（塚）","","鉄片 繊維",139.4649068,35.69020841,TRUE
13206003200,13206,"32","","府中市No.32遺跡","府中市 武蔵台二丁目","[時代不明]","その他（塚）","","",139.4657651,35.69051513,TRUE
13207003700,13207,"37","","昭島市No.37遺跡","昭島市 宮沢町","[時代不明]","塚","","",139.3640862,35.70291803,TRUE
13209000400,13209,"4","","町田市No.4遺跡","町田市 相原町","[時代不明]","包蔵地","","土器",139.2901991,35.61637563,TRUE
13209001200,13209,"12","","町田市No.12遺跡","町田市 相原町","[時代不明]","鍛冶工房","","",139.3009336,35.60877003,TRUE
13209022700,13209,"227","","町田市No.227遺跡","町田市 図師町","[時代不明]","包蔵地","","土器",139.4219812,35.58808088,TRUE
13209023400,13209,"234","おのじのふじづか","小野路の富士塚","町田市 小野路町","[時代不明]","塚","","",139.4522384,35.60398077,TRUE
13209029800,13209,"298","","町田市No.298遺跡","町田市 野津田町","[時代不明]","包蔵地","","土器",139.4378629,35.58743663,TRUE
13209039400,13209,"394","つるかわいせきぐんぶいちてん","鶴川遺跡群V地点","町田市 鶴川三丁目　 鶴川五丁目","[時代不明]","集落","[時代不明]住居","土器",139.4656547,35.59193889,TRUE
