分析変数,内容,分析変数,内容,分析変数,内容,分析変数
標高,絶対標高。山城・低地集落の基本条件,標高,絶対標高。山城・低地集落の基本条件,標高,絶対標高。山城・低地集落の基本条件,標高
比高,周辺低地・河川・谷底との高さの差,比高,周辺低地・河川・谷底との高さの差,比高,周辺低地・河川・谷底との高さの差,比高
傾斜角,居住・造成・防御・農地適性,傾斜角,居住・造成・防御・農地適性,傾斜角,居住・造成・防御・農地適性,傾斜角
斜面方位,日照、風、耕作条件,斜面方位,日照、風、耕作条件,斜面方位,日照、風、耕作条件,斜面方位
曲率,尾根・谷・平坦面の判定,曲率,尾根・谷・平坦面の判定,曲率,尾根・谷・平坦面の判定,曲率
TPI,周囲より高いか低いかを示す地形位置指数,TPI,周囲より高いか低いかを示す地形位置指数,TPI,周囲より高いか低いかを示す地形位置指数,TPI
TRI,地形の凹凸・起伏量,TRI,地形の凹凸・起伏量,TRI,地形の凹凸・起伏量,TRI
河川距離,水利・交通・洪水リスク,河川距離,水利・交通・洪水リスク,河川距離,水利・交通・洪水リスク,河川距離
湧水距離,集落立地・城郭水利,湧水距離,集落立地・城郭水利,湧水距離,集落立地・城郭水利,湧水距離
谷口距離,山地・低地間の結節点,谷口距離,山地・低地間の結節点,谷口距離,山地・低地間の結節点,谷口距離
段丘崖距離,防御性・湧水・台地縁立地,段丘崖距離,防御性・湧水・台地縁立地,段丘崖距離,防御性・湧水・台地縁立地,段丘崖距離
自然堤防距離,低地集落立地,自然堤防距離,低地集落立地,自然堤防距離,低地集落立地,自然堤防距離
旧河道距離,水利・湿地・水害・堀との関係,旧河道距離,水利・湿地・水害・堀との関係,旧河道距離,水利・湿地・水害・堀との関係,旧河道距離
地質区分,岩盤・ローム・砂礫・粘土・泥炭など,地質区分,岩盤・ローム・砂礫・粘土・泥炭など,地質区分,岩盤・ローム・砂礫・粘土・泥炭など,地質区分
表層地質,地盤安定性・掘削性・排水性,表層地質,地盤安定性・掘削性・排水性,表層地質,地盤安定性・掘削性・排水性,表層地質
土壌区分,農耕適性・水田化・畑作,土壌区分,農耕適性・水田化・畑作,土壌区分,農耕適性・水田化・畑作,土壌区分
地すべり地形距離,斜面リスク,地すべり地形距離,斜面リスク,地すべり地形距離,斜面リスク,地すべり地形距離
可視領域,城郭・古墳・祭祀遺跡の見通し,可視領域,城郭・古墳・祭祀遺跡の見通し,可視領域,城郭・古墳・祭祀遺跡の見通し,可視領域
累積コスト距離,交通路・移動経路との関係,累積コスト距離,交通路・移動経路との関係,累積コスト距離,交通路・移動経路との関係,累積コスト距離
水系次数,本流・支流・小流域の階層性,水系次数,本流・支流・小流域の階層性,水系次数,本流・支流・小流域の階層性,水系次数
分析変数,内容,分析変数,内容,分析変数,内容,分析変数
